epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10732.9,1.66184,0.94633,1.23257,0.90944,0.83966,0.91386,0.55242,1.50671,0.75334,1.22252,0.000848969,0.000848969,0.000848969
43,10987.9,1.64513,0.93825,1.23385,0.92366,0.83554,0.91561,0.55137,1.50566,0.74842,1.21753,0.000834822,0.000834822,0.000834822
44,11244.8,1.65715,0.93512,1.23398,0.91304,0.83803,0.91462,0.55466,1.49819,0.74276,1.21492,0.000820675,0.000820675,0.000820675
45,11503.6,1.65073,0.92632,1.22829,0.90303,0.8472,0.91557,0.55156,1.50128,0.75074,1.21689,0.000806528,0.000806528,0.000806528
46,11757.9,1.65801,0.92803,1.22044,0.91687,0.83971,0.91566,0.55215,1.50787,0.7445,1.21289,0.00079238,0.00079238,0.00079238
47,12012.8,1.64384,0.91464,1.21697,0.9164,0.84206,0.91565,0.55302,1.50901,0.7384,1.21144,0.000778233,0.000778233,0.000778233
48,12267.2,1.64873,0.92594,1.2193,0.90767,0.84567,0.91585,0.55688,1.50046,0.74317,1.2101,0.000764086,0.000764086,0.000764086
49,12522,1.646,0.91675,1.21345,0.90913,0.84999,0.92035,0.55707,1.49641,0.73395,1.20698,0.000749939,0.000749939,0.000749939
50,12773.9,1.64799,0.91932,1.21939,0.91994,0.85177,0.92073,0.55573,1.50037,0.73867,1.20732,0.000735792,0.000735792,0.000735792
51,13029.2,1.64254,0.91524,1.21413,0.91609,0.84429,0.91816,0.56005,1.4862,0.73938,1.20001,0.000721645,0.000721645,0.000721645
52,13284.7,1.63845,0.9067,1.21233,0.91022,0.84918,0.92181,0.5602,1.49647,0.73019,1.20389,0.000707498,0.000707498,0.000707498
53,13539.9,1.64434,0.91915,1.21702,0.90498,0.85835,0.92177,0.562,1.49067,0.72978,1.19974,0.000693351,0.000693351,0.000693351
54,13796.4,1.63048,0.90484,1.21034,0.91316,0.85326,0.92393,0.56153,1.49204,0.73008,1.20094,0.000679204,0.000679204,0.000679204
55,14054.2,1.64219,0.91065,1.2118,0.91602,0.8532,0.92416,0.56467,1.49096,0.72603,1.19632,0.000665057,0.000665057,0.000665057
56,14312.8,1.6382,0.89889,1.20692,0.91672,0.84983,0.92268,0.56257,1.50142,0.72209,1.20158,0.000650909,0.000650909,0.000650909
57,14573,1.63808,0.89751,1.20169,0.91308,0.85716,0.92123,0.55803,1.50049,0.72174,1.20159,0.000636762,0.000636762,0.000636762
58,14830.8,1.63088,0.89483,1.20371,0.90769,0.85421,0.92265,0.56057,1.49948,0.72089,1.20103,0.000622615,0.000622615,0.000622615
59,15085.2,1.62675,0.88872,1.20561,0.91491,0.861,0.92458,0.56669,1.484,0.7175,1.19155,0.000608468,0.000608468,0.000608468
60,15340,1.6295,0.8928,1.19965,0.91687,0.86028,0.92436,0.56344,1.49444,0.71457,1.1953,0.000594321,0.000594321,0.000594321
61,15597.4,1.63083,0.88849,1.1949,0.92306,0.85125,0.9252,0.56332,1.48539,0.71408,1.18951,0.000580174,0.000580174,0.000580174
62,15860,1.62861,0.88025,1.19765,0.91823,0.85592,0.92395,0.56619,1.48663,0.71307,1.1896,0.000566027,0.000566027,0.000566027
63,16117.2,1.63115,0.88554,1.20044,0.91508,0.86336,0.92458,0.56262,1.48774,0.71053,1.19074,0.00055188,0.00055188,0.00055188
64,16374.2,1.61656,0.87612,1.19599,0.92308,0.85712,0.92624,0.56557,1.49486,0.70932,1.19284,0.000537733,0.000537733,0.000537733
65,16632.6,1.63025,0.88184,1.1976,0.9144,0.86198,0.92637,0.57089,1.47388,0.70634,1.18408,0.000523586,0.000523586,0.000523586
66,16889.8,1.62334,0.87006,1.19475,0.91666,0.8579,0.92773,0.56956,1.48432,0.70663,1.189,0.000509438,0.000509438,0.000509438
67,17151.7,1.62094,0.87232,1.19574,0.92366,0.85904,0.92716,0.56883,1.48145,0.70242,1.18597,0.000495291,0.000495291,0.000495291
68,17413.9,1.60668,0.86596,1.19645,0.91444,0.86357,0.92908,0.57128,1.47461,0.70181,1.18129,0.000481144,0.000481144,0.000481144
69,17671.9,1.61293,0.86795,1.18964,0.91768,0.86299,0.92762,0.56934,1.48286,0.70034,1.18404,0.000466997,0.000466997,0.000466997
70,17929,1.61211,0.86072,1.18767,0.91959,0.86428,0.92861,0.56969,1.48225,0.69576,1.18463,0.00045285,0.00045285,0.00045285
71,18185.2,1.60825,0.8584,1.19161,0.92403,0.8611,0.92914,0.56935,1.4826,0.69675,1.18417,0.000438703,0.000438703,0.000438703
72,18450.2,1.61621,0.86458,1.19002,0.9341,0.85329,0.92823,0.57141,1.48028,0.69837,1.18495,0.000424556,0.000424556,0.000424556
73,18707.3,1.60413,0.85516,1.18329,0.91993,0.86277,0.92842,0.57184,1.4818,0.69914,1.18254,0.000410409,0.000410409,0.000410409
74,18969.9,1.6178,0.85841,1.18845,0.92319,0.86449,0.92852,0.57224,1.48432,0.6983,1.1842,0.000396262,0.000396262,0.000396262
75,19230,1.60211,0.85589,1.1871,0.91276,0.86784,0.92911,0.57107,1.48735,0.69584,1.18589,0.000382115,0.000382115,0.000382115
76,19489.5,1.60762,0.85109,1.1841,0.92366,0.86421,0.92923,0.57007,1.48447,0.69528,1.18249,0.000367967,0.000367967,0.000367967
77,19748.4,1.61736,0.85181,1.18221,0.92078,0.86891,0.93029,0.57164,1.48208,0.69232,1.18191,0.00035382,0.00035382,0.00035382
78,20009.5,1.61141,0.85369,1.18334,0.91638,0.86494,0.92993,0.57233,1.48246,0.69284,1.18084,0.000339673,0.000339673,0.000339673
79,20270.1,1.60842,0.84868,1.17709,0.91722,0.86518,0.92976,0.57469,1.47471,0.69022,1.17674,0.000325526,0.000325526,0.000325526
80,20534.5,1.59214,0.84084,1.18228,0.92092,0.86248,0.92944,0.57432,1.47619,0.68985,1.17881,0.000311379,0.000311379,0.000311379
81,20807.7,1.61075,0.84819,1.18331,0.92395,0.86899,0.93021,0.57478,1.47763,0.68927,1.17859,0.000297232,0.000297232,0.000297232
82,21070.3,1.60141,0.84519,1.1799,0.92124,0.86789,0.92998,0.57611,1.46867,0.68767,1.17493,0.000283085,0.000283085,0.000283085
83,21332.3,1.59074,0.84012,1.18629,0.91827,0.86588,0.93076,0.5747,1.47247,0.68766,1.17632,0.000268938,0.000268938,0.000268938
84,21594.5,1.59342,0.84393,1.18294,0.91653,0.87277,0.93129,0.57567,1.47562,0.68792,1.17613,0.000254791,0.000254791,0.000254791
85,21863.6,1.6039,0.83516,1.17747,0.92064,0.87036,0.93157,0.5767,1.47353,0.6859,1.1757,0.000240644,0.000240644,0.000240644
86,22126.5,1.59759,0.8343,1.18131,0.92207,0.86628,0.93128,0.57463,1.47708,0.6859,1.17745,0.000226497,0.000226497,0.000226497
87,22390.3,1.58921,0.83503,1.17611,0.91608,0.87348,0.93278,0.57396,1.47808,0.68437,1.17877,0.000212349,0.000212349,0.000212349
