epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12499.1,1.6126,0.81648,1.11184,0.89946,0.84719,0.90539,0.53876,1.47326,0.67075,1.09466,0.000848969,0.000848969,0.000848969
43,12696.1,1.59605,0.81071,1.11403,0.92112,0.83672,0.90821,0.53945,1.46266,0.66507,1.09511,0.000834822,0.000834822,0.000834822
44,12893.3,1.60288,0.8058,1.10989,0.91883,0.8336,0.90682,0.54097,1.46215,0.66241,1.08858,0.000820675,0.000820675,0.000820675
45,13091.5,1.59872,0.79798,1.10643,0.91776,0.82812,0.90602,0.54065,1.46493,0.66407,1.09242,0.000806528,0.000806528,0.000806528
46,13289,1.61109,0.80445,1.10551,0.92101,0.84246,0.91138,0.54023,1.46624,0.65494,1.09202,0.00079238,0.00079238,0.00079238
47,13485.6,1.59451,0.78783,1.10041,0.91699,0.84453,0.91074,0.54342,1.46684,0.65675,1.09209,0.000778233,0.000778233,0.000778233
48,13681.4,1.59666,0.79725,1.10228,0.91299,0.84806,0.90958,0.54376,1.45701,0.65543,1.08633,0.000764086,0.000764086,0.000764086
49,13877.9,1.59464,0.78992,1.09705,0.91217,0.83864,0.91014,0.5415,1.46493,0.65249,1.08844,0.000749939,0.000749939,0.000749939
50,14074.9,1.59228,0.79311,1.1035,0.90931,0.84078,0.91033,0.54148,1.46733,0.65258,1.08735,0.000735792,0.000735792,0.000735792
51,14272.4,1.58588,0.78556,1.0984,0.91442,0.84124,0.90795,0.54,1.45784,0.65738,1.08712,0.000721645,0.000721645,0.000721645
52,14469.2,1.58395,0.78182,1.09912,0.91418,0.84172,0.91272,0.54845,1.45183,0.65108,1.08523,0.000707498,0.000707498,0.000707498
53,14666.3,1.59275,0.78706,1.10243,0.91509,0.85031,0.91105,0.5461,1.44912,0.64812,1.07879,0.000693351,0.000693351,0.000693351
54,14861.2,1.58066,0.78136,1.09773,0.92064,0.85057,0.91507,0.54559,1.45914,0.64699,1.08468,0.000679204,0.000679204,0.000679204
55,15058.4,1.5862,0.78067,1.10121,0.91439,0.8529,0.91515,0.55258,1.44294,0.64067,1.07663,0.000665057,0.000665057,0.000665057
56,15255.3,1.58369,0.77634,1.09434,0.91572,0.84889,0.91623,0.54884,1.45518,0.64467,1.08088,0.000650909,0.000650909,0.000650909
57,15452.5,1.58582,0.77158,1.09053,0.92096,0.84281,0.9126,0.5447,1.46453,0.64503,1.08681,0.000636762,0.000636762,0.000636762
58,15650.1,1.57643,0.77192,1.09442,0.91816,0.85488,0.91474,0.54781,1.46237,0.64144,1.08503,0.000622615,0.000622615,0.000622615
59,15848.8,1.57088,0.76941,1.09538,0.92263,0.84332,0.91506,0.55281,1.44338,0.63616,1.07657,0.000608468,0.000608468,0.000608468
60,16046.8,1.57243,0.77138,1.08975,0.92637,0.85122,0.91722,0.55196,1.45062,0.63769,1.07869,0.000594321,0.000594321,0.000594321
61,16247.6,1.57453,0.76403,1.08729,0.92764,0.85024,0.9173,0.55328,1.44756,0.63749,1.07487,0.000580174,0.000580174,0.000580174
62,16449.9,1.56878,0.76323,1.09098,0.91823,0.85018,0.91503,0.55096,1.44979,0.63653,1.0771,0.000566027,0.000566027,0.000566027
63,16651.8,1.56962,0.76568,1.09195,0.91178,0.85216,0.91568,0.55194,1.44923,0.63689,1.07818,0.00055188,0.00055188,0.00055188
64,16851.1,1.56195,0.7589,1.08819,0.91939,0.84817,0.91373,0.54799,1.46101,0.63521,1.07973,0.000537733,0.000537733,0.000537733
65,17052.8,1.572,0.7623,1.09018,0.91566,0.8538,0.91517,0.55551,1.43572,0.63497,1.0719,0.000523586,0.000523586,0.000523586
66,17266.4,1.56635,0.75095,1.08458,0.92146,0.85192,0.91513,0.55216,1.44291,0.63418,1.07331,0.000509438,0.000509438,0.000509438
67,17470.6,1.56104,0.75382,1.08776,0.92329,0.84495,0.91634,0.55339,1.44649,0.6336,1.07499,0.000495291,0.000495291,0.000495291
68,17671.6,1.54896,0.74793,1.08849,0.92415,0.84626,0.91645,0.55425,1.43834,0.63107,1.07316,0.000481144,0.000481144,0.000481144
69,17870,1.55334,0.75216,1.0853,0.91455,0.8558,0.91637,0.5518,1.44417,0.63134,1.07326,0.000466997,0.000466997,0.000466997
70,18069.5,1.55231,0.74384,1.08136,0.92465,0.84968,0.91612,0.55598,1.4333,0.6285,1.06797,0.00045285,0.00045285,0.00045285
71,18273.6,1.54705,0.74461,1.08601,0.92444,0.85018,0.91929,0.55725,1.44177,0.62457,1.07308,0.000438703,0.000438703,0.000438703
