epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9831.26,1.64671,0.9144,1.24758,0.90426,0.84822,0.91333,0.56513,1.46795,0.72572,1.23269,0.000848969,0.000848969,0.000848969
43,10057.2,1.63156,0.91049,1.25206,0.91455,0.83987,0.91482,0.56263,1.47008,0.72291,1.23528,0.000834822,0.000834822,0.000834822
44,10291.9,1.63944,0.90052,1.25065,0.91285,0.84835,0.919,0.56769,1.4677,0.71315,1.23627,0.000820675,0.000820675,0.000820675
45,10519.7,1.6311,0.89091,1.24397,0.91471,0.84379,0.91581,0.56661,1.45814,0.72066,1.22691,0.000806528,0.000806528,0.000806528
46,10750.4,1.64215,0.89438,1.24075,0.92591,0.83475,0.91907,0.56881,1.45855,0.71626,1.22421,0.00079238,0.00079238,0.00079238
47,10981.4,1.62457,0.8794,1.23485,0.91405,0.85192,0.91976,0.56907,1.46552,0.7091,1.2263,0.000778233,0.000778233,0.000778233
48,11212,1.63006,0.88964,1.23798,0.91683,0.84384,0.91523,0.56616,1.45901,0.7142,1.21919,0.000764086,0.000764086,0.000764086
49,11442.5,1.6249,0.87923,1.23189,0.91086,0.85735,0.92324,0.56928,1.45848,0.70072,1.22272,0.000749939,0.000749939,0.000749939
50,11677.2,1.62855,0.88429,1.24042,0.91383,0.85218,0.92074,0.57127,1.45967,0.70038,1.21905,0.000735792,0.000735792,0.000735792
51,11906.3,1.62061,0.87634,1.23425,0.9251,0.85187,0.92177,0.57512,1.45006,0.69792,1.2161,0.000721645,0.000721645,0.000721645
52,12140.2,1.61919,0.87225,1.23369,0.92145,0.86041,0.92373,0.57607,1.45157,0.69519,1.21551,0.000707498,0.000707498,0.000707498
53,12371.7,1.62559,0.88241,1.23805,0.91689,0.85605,0.92182,0.5739,1.44654,0.69689,1.21296,0.000693351,0.000693351,0.000693351
54,12604.8,1.60907,0.86806,1.23269,0.91359,0.85828,0.92278,0.57613,1.45231,0.6925,1.21493,0.000679204,0.000679204,0.000679204
55,12840.6,1.62098,0.87573,1.23314,0.91434,0.85623,0.92417,0.57697,1.44734,0.69467,1.2131,0.000665057,0.000665057,0.000665057
56,13073,1.61458,0.86346,1.22792,0.9122,0.86739,0.9244,0.57799,1.44989,0.6865,1.21296,0.000650909,0.000650909,0.000650909
57,13306.3,1.61624,0.86494,1.22231,0.91964,0.86084,0.92485,0.57727,1.44823,0.68901,1.2124,0.000636762,0.000636762,0.000636762
58,13536.5,1.61085,0.85894,1.2256,0.90839,0.87084,0.92553,0.58047,1.44926,0.68322,1.21301,0.000622615,0.000622615,0.000622615
59,13768.7,1.60322,0.85083,1.22695,0.91875,0.85881,0.92231,0.57648,1.44473,0.69184,1.21405,0.000608468,0.000608468,0.000608468
60,13998.3,1.6055,0.85582,1.22024,0.91622,0.86504,0.92445,0.57984,1.44091,0.68542,1.20825,0.000594321,0.000594321,0.000594321
61,14232.5,1.6071,0.85272,1.21662,0.91669,0.8621,0.92643,0.58273,1.43789,0.68377,1.20276,0.000580174,0.000580174,0.000580174
62,14466.5,1.60449,0.846,1.21907,0.91845,0.86116,0.9259,0.58199,1.44005,0.68231,1.20825,0.000566027,0.000566027,0.000566027
63,14696,1.60408,0.85223,1.22163,0.92426,0.86261,0.92834,0.58439,1.43837,0.68226,1.20514,0.00055188,0.00055188,0.00055188
64,14930.2,1.59177,0.83908,1.21679,0.93117,0.85299,0.92714,0.58249,1.43866,0.68025,1.20508,0.000537733,0.000537733,0.000537733
65,15160.2,1.60789,0.84743,1.221,0.92634,0.86308,0.92925,0.58614,1.4304,0.67717,1.20078,0.000523586,0.000523586,0.000523586
66,15391.1,1.59919,0.83462,1.215,0.92279,0.86255,0.92807,0.58341,1.43909,0.67366,1.20597,0.000509438,0.000509438,0.000509438
67,15623.8,1.5956,0.836,1.21847,0.92411,0.86202,0.92654,0.58455,1.42988,0.67529,1.20168,0.000495291,0.000495291,0.000495291
68,15850.8,1.58235,0.82773,1.2182,0.91191,0.87604,0.93007,0.58926,1.42788,0.67271,1.19733,0.000481144,0.000481144,0.000481144
69,16086.5,1.58756,0.83492,1.21228,0.91928,0.86703,0.92839,0.58471,1.42814,0.67316,1.19953,0.000466997,0.000466997,0.000466997
70,16318.3,1.58563,0.82743,1.21044,0.92538,0.8642,0.9294,0.58648,1.42622,0.66742,1.19961,0.00045285,0.00045285,0.00045285
71,16548.6,1.58352,0.8253,1.21334,0.92056,0.87169,0.92978,0.58716,1.42566,0.6688,1.19766,0.000438703,0.000438703,0.000438703
72,16779.9,1.59124,0.82998,1.21066,0.92637,0.86836,0.93162,0.58911,1.4286,0.66755,1.20045,0.000424556,0.000424556,0.000424556
73,17008.9,1.58192,0.82387,1.20603,0.91891,0.86962,0.9313,0.58448,1.43369,0.66891,1.20133,0.000410409,0.000410409,0.000410409
74,17241.4,1.59393,0.82866,1.20924,0.91948,0.86703,0.9307,0.58869,1.43245,0.67202,1.20138,0.000396262,0.000396262,0.000396262
75,17469.4,1.5804,0.8315,1.20752,0.92573,0.86653,0.93048,0.58744,1.4323,0.66943,1.20091,0.000382115,0.000382115,0.000382115
76,17700.8,1.58639,0.82894,1.2034,0.93771,0.85851,0.93059,0.58991,1.42933,0.66857,1.19601,0.000367967,0.000367967,0.000367967
77,17932.4,1.59747,0.83157,1.20126,0.92426,0.86514,0.92845,0.58663,1.42706,0.66873,1.19533,0.00035382,0.00035382,0.00035382
78,18164.1,1.59376,0.83397,1.20488,0.91786,0.8765,0.9319,0.59051,1.42841,0.66764,1.19609,0.000339673,0.000339673,0.000339673
79,18396.7,1.5906,0.82756,1.19618,0.92996,0.8713,0.93249,0.59092,1.42598,0.66744,1.19404,0.000325526,0.000325526,0.000325526
80,18624.5,1.57419,0.81935,1.20024,0.92863,0.86779,0.93162,0.59036,1.42415,0.66752,1.19337,0.000311379,0.000311379,0.000311379
81,18858.2,1.59369,0.82872,1.20179,0.93023,0.86986,0.9325,0.59196,1.42626,0.66539,1.19081,0.000297232,0.000297232,0.000297232
82,19087.4,1.58405,0.82788,1.19746,0.92472,0.87027,0.93188,0.58946,1.4256,0.67045,1.19225,0.000283085,0.000283085,0.000283085
83,19319.9,1.57532,0.82226,1.20531,0.92288,0.87365,0.93111,0.59064,1.42438,0.66956,1.19203,0.000268938,0.000268938,0.000268938
84,19547.3,1.57598,0.82206,1.20076,0.92455,0.86982,0.93194,0.59234,1.42256,0.66807,1.19052,0.000254791,0.000254791,0.000254791
85,19784.8,1.5834,0.81778,1.19286,0.91756,0.87425,0.93203,0.59275,1.422,0.6695,1.18923,0.000240644,0.000240644,0.000240644
86,20017.1,1.58082,0.81653,1.19888,0.93005,0.86571,0.93108,0.59368,1.42339,0.66759,1.18863,0.000226497,0.000226497,0.000226497
87,20247.8,1.57143,0.81682,1.19138,0.93168,0.86538,0.93366,0.59413,1.42276,0.66731,1.18711,0.000212349,0.000212349,0.000212349
88,20480.4,1.57779,0.81349,1.19139,0.92915,0.8666,0.93286,0.59443,1.42101,0.66862,1.18642,0.000198202,0.000198202,0.000198202
89,20711.8,1.57283,0.81439,1.19274,0.92013,0.86948,0.93179,0.59229,1.42187,0.66997,1.18733,0.000184055,0.000184055,0.000184055
90,20944.5,1.57919,0.81827,1.19432,0.92469,0.86776,0.93246,0.59364,1.42067,0.6681,1.18735,0.000169908,0.000169908,0.000169908
91,21147.2,1.46833,0.70788,1.19959,0.93162,0.87047,0.93427,0.59667,1.4226,0.661,1.1872,0.000155761,0.000155761,0.000155761
92,21352.3,1.47488,0.70656,1.1999,0.93736,0.87113,0.9359,0.59768,1.42228,0.65988,1.18757,0.000141614,0.000141614,0.000141614
93,21555,1.46509,0.69841,1.19941,0.93254,0.86877,0.93581,0.59707,1.42146,0.66044,1.18701,0.000127467,0.000127467,0.000127467
94,21763.1,1.4625,0.6983,1.19861,0.93699,0.86215,0.93393,0.59608,1.42121,0.66064,1.18756,0.00011332,0.00011332,0.00011332
95,21965.4,1.46167,0.69058,1.19341,0.93052,0.86912,0.93415,0.59751,1.42311,0.65618,1.18814,9.91726e-05,9.91726e-05,9.91726e-05
96,22171.7,1.46194,0.69686,1.19652,0.92854,0.86829,0.93486,0.59648,1.42355,0.65618,1.18893,8.50255e-05,8.50255e-05,8.50255e-05
97,22373.3,1.455,0.69005,1.19819,0.92609,0.8703,0.93517,0.59726,1.42204,0.65636,1.18818,7.08784e-05,7.08784e-05,7.08784e-05
98,22579.3,1.45176,0.68562,1.20072,0.92915,0.86736,0.93482,0.59742,1.42009,0.65534,1.18713,5.67313e-05,5.67313e-05,5.67313e-05
99,22783,1.45659,0.69014,1.19141,0.931,0.86903,0.93465,0.59728,1.41859,0.65538,1.18481,4.25842e-05,4.25842e-05,4.25842e-05
100,22988.1,1.45547,0.68919,1.1937,0.93154,0.86941,0.93445,0.59673,1.41809,0.65556,1.18472,2.84371e-05,2.84371e-05,2.84371e-05
