epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14746.3,1.62966,0.83625,1.09463,0.9058,0.83537,0.89846,0.54123,1.44653,0.68055,1.06483,0.000848969,0.000848969,0.000848969
43,14986.5,1.60637,0.82814,1.09377,0.9067,0.83815,0.89712,0.54268,1.44317,0.67682,1.06496,0.000834822,0.000834822,0.000834822
44,15248.3,1.61755,0.82745,1.09263,0.91155,0.83447,0.90227,0.54854,1.44158,0.67274,1.06428,0.000820675,0.000820675,0.000820675
45,15502.3,1.60994,0.81677,1.08696,0.90952,0.82818,0.89774,0.54487,1.437,0.67702,1.06387,0.000806528,0.000806528,0.000806528
46,15745.6,1.62162,0.81992,1.08641,0.91308,0.83268,0.90205,0.54939,1.43767,0.66758,1.05934,0.00079238,0.00079238,0.00079238
47,15982.8,1.60647,0.80758,1.08054,0.90581,0.8465,0.901,0.55042,1.43051,0.66534,1.05727,0.000778233,0.000778233,0.000778233
48,16243.3,1.61315,0.81472,1.08486,0.90554,0.84442,0.90008,0.54957,1.43458,0.66522,1.05792,0.000764086,0.000764086,0.000764086
49,16490.7,1.60639,0.8028,1.07767,0.9111,0.83942,0.90353,0.5483,1.43457,0.66673,1.05588,0.000749939,0.000749939,0.000749939
50,16730.9,1.60174,0.80705,1.08597,0.91567,0.84201,0.90289,0.5486,1.43431,0.65909,1.05743,0.000735792,0.000735792,0.000735792
51,16995.9,1.5978,0.80181,1.07908,0.90508,0.84617,0.90254,0.54767,1.4281,0.66047,1.05514,0.000721645,0.000721645,0.000721645
52,17251,1.58945,0.79585,1.07853,0.91761,0.84295,0.90625,0.55024,1.42687,0.65489,1.05338,0.000707498,0.000707498,0.000707498
53,17508.7,1.59882,0.8052,1.08279,0.91411,0.84324,0.90606,0.55488,1.42501,0.66136,1.05438,0.000693351,0.000693351,0.000693351
54,17750.2,1.58709,0.79685,1.07734,0.90707,0.84902,0.90943,0.55301,1.42313,0.65902,1.05334,0.000679204,0.000679204,0.000679204
55,18023.5,1.59987,0.80109,1.08359,0.91391,0.8468,0.90902,0.55754,1.419,0.652,1.05176,0.000665057,0.000665057,0.000665057
56,18282.5,1.59168,0.7894,1.07526,0.91164,0.84857,0.90844,0.55526,1.42412,0.64757,1.05068,0.000650909,0.000650909,0.000650909
57,18536.9,1.59528,0.78646,1.07149,0.92016,0.84139,0.90646,0.55506,1.42267,0.64795,1.05107,0.000636762,0.000636762,0.000636762
