epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5809.03,1.58716,0.78397,1.11243,0.91208,0.83455,0.90226,0.53341,1.48725,0.66402,1.11204,0.000848969,0.000848969,0.000848969
43,5947.26,1.58922,0.78814,1.1138,0.91322,0.82925,0.90006,0.52675,1.50542,0.66632,1.12338,0.000834822,0.000834822,0.000834822
44,6085.62,1.58593,0.77816,1.11206,0.91205,0.83816,0.90432,0.53832,1.47796,0.65057,1.10711,0.000820675,0.000820675,0.000820675
45,6224.3,1.57601,0.76875,1.10322,0.89938,0.85252,0.90763,0.54159,1.47665,0.6551,1.1138,0.000806528,0.000806528,0.000806528
46,6362.38,1.58669,0.77682,1.10491,0.90597,0.8508,0.90982,0.54039,1.47366,0.64934,1.10835,0.00079238,0.00079238,0.00079238
47,6500.18,1.57264,0.76728,1.10246,0.90602,0.85083,0.90898,0.5391,1.47678,0.65071,1.10764,0.000778233,0.000778233,0.000778233
48,6640.53,1.57486,0.76244,1.09581,0.90097,0.85421,0.91065,0.54925,1.46184,0.6475,1.10209,0.000764086,0.000764086,0.000764086
49,6782.01,1.56554,0.76815,1.10283,0.91669,0.85152,0.91271,0.54937,1.45264,0.64186,1.0962,0.000749939,0.000749939,0.000749939
50,6921.43,1.56408,0.7623,1.10457,0.90698,0.8534,0.90955,0.54436,1.46263,0.6431,1.09846,0.000735792,0.000735792,0.000735792
51,7063.05,1.55493,0.76168,1.0996,0.90599,0.85569,0.91,0.54407,1.46391,0.64561,1.10203,0.000721645,0.000721645,0.000721645
52,7204.2,1.56707,0.76558,1.10258,0.90171,0.86179,0.91225,0.55009,1.45184,0.63948,1.09536,0.000707498,0.000707498,0.000707498
53,7347.31,1.55931,0.75231,1.09132,0.91283,0.85416,0.91231,0.54389,1.46761,0.64268,1.1022,0.000693351,0.000693351,0.000693351
54,7488.05,1.55658,0.7532,1.1012,0.91415,0.84869,0.91223,0.54899,1.4539,0.6397,1.09545,0.000679204,0.000679204,0.000679204
55,7630.52,1.56192,0.75234,1.09637,0.91031,0.85585,0.91493,0.55157,1.45324,0.63443,1.10206,0.000665057,0.000665057,0.000665057
56,7771.48,1.54387,0.741,1.09022,0.90994,0.86065,0.91565,0.55279,1.45044,0.63093,1.09657,0.000650909,0.000650909,0.000650909
57,7911.61,1.55182,0.75342,1.10144,0.90806,0.85666,0.91432,0.5488,1.45692,0.63317,1.09502,0.000636762,0.000636762,0.000636762
58,8052.16,1.53244,0.7429,1.09869,0.90911,0.85193,0.91158,0.54773,1.45654,0.63085,1.09536,0.000622615,0.000622615,0.000622615
59,8192.69,1.55702,0.74411,1.09787,0.91712,0.851,0.91563,0.55244,1.45365,0.6264,1.09478,0.000608468,0.000608468,0.000608468
60,8333.18,1.54522,0.73961,1.09229,0.90932,0.85977,0.91681,0.55323,1.44765,0.62457,1.09359,0.000594321,0.000594321,0.000594321
61,8474.75,1.54604,0.73826,1.09256,0.90878,0.86707,0.9157,0.54795,1.46155,0.63089,1.09574,0.000580174,0.000580174,0.000580174
62,8620,1.53646,0.73529,1.09202,0.91221,0.86426,0.91735,0.55127,1.45074,0.62514,1.09758,0.000566027,0.000566027,0.000566027
63,8759.03,1.54711,0.74105,1.09876,0.91269,0.86329,0.91713,0.55758,1.44022,0.6233,1.08943,0.00055188,0.00055188,0.00055188
64,8900.99,1.5389,0.7339,1.08878,0.91181,0.86129,0.91742,0.55167,1.45234,0.62142,1.09544,0.000537733,0.000537733,0.000537733
65,9042.86,1.53278,0.72897,1.08709,0.91712,0.86249,0.919,0.55584,1.44847,0.62175,1.0955,0.000523586,0.000523586,0.000523586
66,9187.07,1.53565,0.72482,1.09474,0.91015,0.86815,0.91818,0.55533,1.44225,0.61665,1.09193,0.000509438,0.000509438,0.000509438
67,9328.19,1.54779,0.72841,1.08488,0.90786,0.86838,0.91811,0.55823,1.43974,0.61661,1.08855,0.000495291,0.000495291,0.000495291
68,9469.01,1.53218,0.72119,1.08419,0.91511,0.86316,0.91744,0.55538,1.44268,0.61552,1.09187,0.000481144,0.000481144,0.000481144
69,9609.28,1.52459,0.71723,1.08625,0.91665,0.86083,0.9189,0.55933,1.44182,0.61565,1.09144,0.000466997,0.000466997,0.000466997
70,9753.38,1.54349,0.72859,1.08845,0.91557,0.86107,0.91712,0.55799,1.4399,0.61897,1.09145,0.00045285,0.00045285,0.00045285
71,9893.84,1.52984,0.72363,1.08769,0.91507,0.86485,0.91862,0.55561,1.4395,0.61616,1.08823,0.000438703,0.000438703,0.000438703
72,10033.6,1.52445,0.71225,1.08184,0.91623,0.86489,0.91915,0.55678,1.43994,0.61179,1.08924,0.000424556,0.000424556,0.000424556
73,10177.2,1.52773,0.71584,1.08185,0.92022,0.86067,0.92072,0.55739,1.43797,0.61101,1.08742,0.000410409,0.000410409,0.000410409
74,10319.1,1.5194,0.71566,1.08345,0.91063,0.86797,0.92032,0.55701,1.43995,0.61371,1.08879,0.000396262,0.000396262,0.000396262
75,10460,1.52317,0.71719,1.08249,0.91826,0.86,0.92235,0.55942,1.43582,0.61109,1.08801,0.000382115,0.000382115,0.000382115
76,10599.5,1.52114,0.70857,1.0762,0.91426,0.86254,0.91949,0.55927,1.43423,0.61066,1.0867,0.000367967,0.000367967,0.000367967
77,10740.3,1.51666,0.70789,1.07533,0.91803,0.85982,0.92086,0.55867,1.43909,0.60919,1.08685,0.00035382,0.00035382,0.00035382
78,10879.6,1.51794,0.70799,1.07904,0.91593,0.86705,0.92,0.55782,1.43649,0.60871,1.08523,0.000339673,0.000339673,0.000339673
79,11020.9,1.52827,0.70792,1.07296,0.91643,0.8695,0.92033,0.55856,1.44123,0.60809,1.091,0.000325526,0.000325526,0.000325526
80,11161.8,1.51029,0.70193,1.07392,0.91302,0.86623,0.92057,0.56067,1.43469,0.60513,1.08774,0.000311379,0.000311379,0.000311379
81,11302.5,1.51712,0.70211,1.07816,0.91451,0.86582,0.92121,0.56241,1.43568,0.60516,1.08772,0.000297232,0.000297232,0.000297232
82,11441.9,1.51125,0.70193,1.07506,0.92095,0.86389,0.92246,0.56294,1.43012,0.60276,1.08486,0.000283085,0.000283085,0.000283085
83,11581.2,1.52151,0.70511,1.07659,0.92451,0.85705,0.92373,0.56332,1.42824,0.60302,1.0833,0.000268938,0.000268938,0.000268938
84,11720,1.50391,0.6964,1.07806,0.92499,0.85994,0.92278,0.56251,1.42909,0.60284,1.08265,0.000254791,0.000254791,0.000254791
85,11858.6,1.51726,0.70143,1.0736,0.92398,0.86559,0.92288,0.56195,1.43015,0.60311,1.08386,0.000240644,0.000240644,0.000240644
86,11998.3,1.49764,0.69378,1.07486,0.91427,0.87098,0.92017,0.55971,1.43796,0.60332,1.0862,0.000226497,0.000226497,0.000226497
